n,epsilon,Power,Method
50,0,0.01,Permutation Test
50,0.01,0.04,Permutation Test
50,0.02,0.11,Permutation Test
50,0.03,0.24,Permutation Test
50,0.04,0.35,Permutation Test
50,0.05,0.65,Permutation Test
50,0.06,0.78,Permutation Test
50,0.07,0.83,Permutation Test
50,0.08,0.91,Permutation Test
50,0.09,0.95,Permutation Test
50,0.1,0.95,Permutation Test
100,0,0.01,Permutation Test
100,0.01,0,Permutation Test
100,0.02,0.05,Permutation Test
100,0.03,0.34,Permutation Test
100,0.04,0.74,Permutation Test
100,0.05,0.92,Permutation Test
100,0.06,0.99,Permutation Test
100,0.07,1,Permutation Test
100,0.08,1,Permutation Test
100,0.09,1,Permutation Test
100,0.1,1,Permutation Test
150,0,0,Permutation Test
150,0.01,0,Permutation Test
150,0.02,0.03,Permutation Test
150,0.03,0.36,Permutation Test
150,0.04,0.81,Permutation Test
150,0.05,0.99,Permutation Test
150,0.06,1,Permutation Test
150,0.07,1,Permutation Test
150,0.08,0.99,Permutation Test
150,0.09,1,Permutation Test
150,0.1,1,Permutation Test
50,0,0,Bootstrap
50,0.01,0,Bootstrap
50,0.02,0.02,Bootstrap
50,0.03,0,Bootstrap
50,0.04,0.02,Bootstrap
50,0.05,0.04,Bootstrap
50,0.06,0.04,Bootstrap
50,0.07,0.08,Bootstrap
50,0.08,0.04,Bootstrap
50,0.09,0.1,Bootstrap
50,0.1,0.22,Bootstrap
100,0,0.01,Bootstrap
100,0.01,0.01,Bootstrap
100,0.02,0.01,Bootstrap
100,0.03,0.04,Bootstrap
100,0.04,0.23,Bootstrap
100,0.05,0.38,Bootstrap
100,0.06,0.49,Bootstrap
100,0.07,0.75,Bootstrap
100,0.08,0.86,Bootstrap
100,0.09,0.9,Bootstrap
100,0.1,0.99,Bootstrap
150,0,0,Bootstrap
150,0.01,0,Bootstrap
150,0.02,0.05,Bootstrap
150,0.03,0.48,Bootstrap
150,0.04,0.76,Bootstrap
150,0.05,0.98,Bootstrap
150,0.06,0.99,Bootstrap
150,0.07,1,Bootstrap
150,0.08,1,Bootstrap
150,0.09,1,Bootstrap
150,0.1,1,Bootstrap
